page,en,zh
14,Unit 2,第二单元
14,Getting together,相聚在一起
14,Why do we get together?,我们为什么要聚在一起？
14,"In this unit, you will:",在本单元中，你将：
14,share opinions about festivals and big events.,分享对节日和大型活动的看法。
14,describe activities in festivals and big events.,描述节日和大型活动中的各种活动。
14,read and separate fact from opinion and identify key events in a diary.,阅读并区分事实与观点，识别日记中的关键事件。
14,write about your experience of a festival or a big event.,写一篇关于节日或大型活动经历的文章。
15,Think and do,想一想，做一做
15,List any festivals or big events you know.,列出你所知道的节日或大型活动。
15,Choose one festival or event and make a mind map.,选择一个节日或活动，制作一张思维导图。
15,A festival or an event,一个节日或活动
15,Where and when?,在哪里？什么时候？
15,What do people see and hear?,人们看到和听到什么？
15,What do people do?,人们做什么？
15,How do people feel?,人们有什么感受？
15,Look and think,看一看，想一想
15,What festival or event does the picture show?,图片展示的是什么节日或活动？
15,What's your favourite festival or event? Why?,你最喜欢的节日或活动是什么？为什么？
15,Listen and sing 🎧,听录音并演唱 🎧
15,Getting together,相聚在一起
15,,✅ 参考答案示例
15,What festival or event does the picture show? The picture shows the opening ceremony of the Winter Olympics.,图片展示的是冬季奥运会的开幕式。
15,"What's your favourite festival or event? Why? My favourite festival is the Spring Festival. I like it because my whole family gets together, we eat delicious food and watch the Spring Festival Gala.",我最喜欢的节日是春节。我喜欢它，因为全家人聚在一起，我们吃美食，观看春节晚会。
15,,思维导图示例：
15,Spring Festival,春节
15,"Where and when? In China, in January or February.",在哪里？什么时候？在中国，一月或二月。
15,"What do people see and hear? Fireworks, lion dances and music.",人们看到和听到什么？烟花、舞狮和音乐。
15,"What do people do? Eat jiaozi, paste fu, visit relatives.",人们做什么？吃饺子、贴福字、走亲访友。
15,How do people feel? Happy and excited.,人们有什么感受？快乐又兴奋。
16,A How can festivals bring us together?,节日如何将我们聚在一起？
16,🟠 Let's talk,🟠 让我们来谈一谈
16,Mike and Matt are having breakfast. Listen and write T (True) or F (False). 🎧,迈克和马特正在吃早饭。听录音，写T（正确）或F（错误）。🎧
16,Matt knows about mooncakes. ( ),马特了解月饼。（ ）
16,Mike's father bought the mooncakes. ( ),迈克的父亲买了月饼。（ ）
16,"Mike: How was your Mid-Autumn Festival holiday, Binbin?",迈克：彬彬，你的中秋节假期过得怎么样？
16,Binbin: It was great! My family and I had a really nice day.,彬彬：很棒！我和家人度过了非常美好的一天。
16,Mike: What did you do? Did you take a trip?,迈克：你们做了什么？你们去旅行了吗？
16,"Binbin: No, we didn't. My aunt's family visited us.",彬彬：没有。我姑姑一家来看我们了。
16,Mike: Did you enjoy some mooncakes and fruit. Grandpa told us some stories about the festival.,迈克：你们吃月饼了吗？
16,"Binbin: Yes, we did. We enjoyed some mooncakes and fruit. Grandpa told us some stories about the festival.",彬彬：是的，我们吃了。我们品尝了月饼和水果。爷爷还给我们讲了一些关于这个节日的故事。
