page,en,zh
38,📘 Unit 4,📘 第四单元
38,💰 Managing money well,💰 合理管理金钱
38,❓ How can we make money work for us?,❓ 我们怎样才能让金钱为我们所用？
38,"📌 In this unit, you will",📌 在本单元中，你将会
38,🗣️ talk about managing money.,🗣️ 谈论如何管理金钱。
38,📝 describe ways to use and manage money.,📝 描述使用和管理金钱的方法。
38,📰 read and analyse ways of managing money in a newspaper article.,📰 阅读并分析一篇报纸文章中管理金钱的方法。
38,✏️ write about how you are going to manage your money well.,✏️ 写一写你打算如何合理管理自己的金钱。
39,💡 Think and discuss,💡 思考与讨论
39,Make a list of things you often buy.,列出你经常购买的物品清单。
39,Discuss how people can save money.,讨论人们如何节省金钱。
39,👀 Look and think,👀 看一看，想一想
39,What are the people in the picture doing?,图片中的人们在做什么？
39,Do you do the same? Why or why not?,你也这样做吗？为什么这样做或者为什么不这样做？
39,🎵 Listen and sing 🎧,🎵 听录音并演唱 🎧
39,Did they use money well?,他们合理使用金钱了吗？
40,🅰️ Why do we use money?,🅰️ 我们为什么要使用金钱？
40,🟡 Let's talk,🟡 让我们来谈一谈
40,Mum is giving Matt his pocket money. Listen and write T (True) or F (False). 🎧,妈妈正在给马特零花钱。听录音，写T或F。🎧
40,Matt gets 25 yuan for his piggy bank. （ ）,马特得到了25元放入存钱罐。（ ）
40,Matt is going to buy some pencils. （ ）,马特打算买一些铅笔。（ ）
40,"👦 Mike: Are you counting your pocket money, Matt?",👦 迈克：马特，你在数你的零花钱吗？
40,👦 Matt: Yes. I have three hundred and fifty-seven yuan.,👦 马特：是的。我有三百五十七元。
40,"👦 Mike: Wow, that's a lot. How are you going to spend it?",👦 迈克：哇，好多啊。你打算怎么花这些钱？
40,👦 Matt: I'm going to buy a schoolbag.,👦 马特：我打算买一个书包。
40,"👦 Mike: Yes, you need a new one.",👦 迈克：是的，你需要一个新的。
40,👦 Matt: I also want to buy some books.,👦 马特：我还想买一些书。
40,👦 Mike: Nice. Maybe you can buy some animal books. They're interesting.,👦 迈克：不错。也许你可以买一些动物类的书，很有趣的。
40,👦 Matt: Great idea! I like animals. Should I also buy some ice cream?,👦 马特：好主意！我喜欢动物。我也应该买一些冰淇淋吗？
40,"👦 Mike: Sure, but don't eat too much.",👦 迈克：当然可以，但是不要吃太多。
40,👦 Matt: You're right. I won't.,👦 马特：你说得对。我不会的。
40,❓ How much pocket money does Matt have?,❓ 马特有多少零花钱？
40,❓ How is he going to spend his pocket money?,❓ 他打算怎么花他的零花钱？
40,"🟡 Think, list and say",🟡 思考、列清单并说一说
40,👩 Name: Amy,👩 姓名：艾米
40,🛒 Need: She is going to buy …,🛒 需要：她打算买……
40,💭 Want: She wants to buy …,💭 想要：她想买……
40,👦 How are you going to spend your pocket money?,👦 你打算怎么花你的零花钱？
40,👧 I'm going to buy … And I also want to buy …,👧 我打算买……我还想买……
41,🟡 Let's learn,🟡 让我们来学一学
41,🛍️ People use money to do different things.,🛍️ 人们用金钱来做不同的事情。
41,🛒 We use money to buy goods.,🛒 我们用金钱来购买商品。
41,🍎 We buy food and drink.,🍎 我们购买食物和饮料。
41,👕 We buy clothes and school things.,👕 我们购买衣物和学习用品。
41,💇 We use money to pay for services.,💇 我们用金钱来支付服务费用。
41,"We need different services: haircuts, home deliveries, …",我们需要不同的服务：理发、送货上门……
41,👧 Chen Jie（,陈洁）: How are you going to spend your pocket money?
41,,👧 陈洁（Chen Jie）：你打算怎么花你的零花钱？
41,"👩 Amy（艾米）: I'm going to have a haircut, …",👩 艾米（Amy）：我打算去理发……
41,🟡 Write and discuss,🟡 写一写，谈一谈
41,💭 Where does our money go?,💭 我们的钱都花到哪里去了？
41,🏊 go swimming / go to a dance class,🏊 去游泳 / 去上舞蹈课
41,🎬 go to the cinema,🎬 去看电影
41,🏥 see a doctor,🏥 去看医生
41,🛍️ Goods（商品）,🛍️ 商品
41,💆 Services（服务）,💆 服务
41,👦 We use money to buy goods. We buy …,👦 我们用金钱来购买商品。我们购买……
41,"👧 We use money to pay for services. We see a doctor, …",👧 我们用金钱来支付服务费用。我们去看医生……
41,Reference Answers,📋 参考答案
41,🎧 Let's talk,听力判断题：
41,Matt gets 25 yuan for his piggy bank. （ F ）,
41,马特（Matt）得到了25元放入存钱罐。（ F ）,💡解析：马特共有357元零花钱，并非仅得到25元存入存钱罐。
41,Matt is going to buy some pencils. （ F ）,马特打算买一些铅笔。（ F ）
41,,💡 解析：马特打算买的是书包和书，并非铅笔。
41,❓ How much pocket money does Matt have?,❓ 马特有多少零花钱？
41,✅ Matt has three hundred and fifty-seven yuan（357元）.,✅ 马特有三百五十七元（357元）。
41,❓ How is he going to spend his pocket money?,❓ 他打算怎么花他的零花钱？
41,✅ He is going to buy a schoolbag and some books. He also wants to buy some ice cream.,✅ 他打算买一个书包和一些书。他还想买一些冰淇淋。
42,🅱️ How can we use money wisely?,🅱️ 我们怎样才能合理使用金钱？
42,🟡 Let's talk,🟡 让我们来谈一谈
42,Sarah is talking to her mum. Listen and answer. 🎧,莎拉正在和她的妈妈交谈。听录音并回答问题。🎧
42,What is Sarah writing?,莎拉在写什么？
42,What is Sarah going to buy?,莎拉打算买什么？
42,📋 Spending plan,📋 消费计划
42,Things for now,现在要买的东西
42,a book about space,一本关于太空的书
42,sunglasses,太阳眼镜
42,Things for later,以后要买的东西
42,a microscope,一台显微镜
42,👩 Mum: How much pocket money do you have?,👩 妈妈：你有多少零花钱？
42,👧 Sarah: I have one hundred and forty-six yuan.,👧 莎拉：我有一百四十六元。
42,👩 Mum: What else are you going to buy?,👩 妈妈：你还打算买什么？
42,👧 Sarah: A lot. But first I'm going to buy a pair of sunglasses for Grandpa.,👧 莎拉：很多东西。但首先我打算给爷爷买一副太阳眼镜。
42,👩 Mum: Why?,👩 妈妈：为什么？
42,👧 Sarah: Because he lost his old pair last weekend.,👧 莎拉：因为他上周末把旧的那副弄丢了。
42,👩 Mum: That's so nice of you!,👩 妈妈：你真是太贴心了！
42,👧 Sarah: I also want to buy a microscope.,👧 莎拉：我还想买一台显微镜。
42,👩 Mum: Good idea! But microscopes are expensive.,👩 妈妈：好主意！但是显微镜很贵。
42,"👧 Sarah: I also have some lucky money from the Spring Festival, but I still need to save more.",👧 莎拉：我还有一些春节压岁钱，但我仍然需要多存一些。
42,👩 Mum: Maybe we can wait for a sale!,👩 妈妈：也许我们可以等打折的时候再买！
42,❓ What is Sarah's spending plan?,❓ 莎拉的消费计划是什么？
42,❓ What do you think of it?,❓ 你觉得这个计划怎么样？
42,🟡 Discuss and make a spending plan,🟡 讨论并制定一个消费计划
42,🛍️ Goods & services,🛍️ 商品与服务
42,I need (to) __________.,我需要买__________。
42,I want (to) __________.,我想要买__________。
42,💭 Things to think about,💭 需要思考的事情
42,Do I need it now?,我现在需要它吗？
42,Do I already have one?,我已经有一个了吗？
42,What is it for?,它是用来做什么的？
42,Is it expensive?,它贵吗？
42,Do I have enough money?,我有足够的钱吗？
42,📋 Spending plan,📋 消费计划
42,Buy now.,现在购买。
42,Wait for a sale.,等待打折时再买。
42,__________.,
42,__________。,
42,👦 What are you going to buy with your lucky money?,👦 你打算用压岁钱买什么？
42,👧 I'm going to buy ...,👧 我打算买……
43,🟡 Let's learn,🟡 让我们来学一学
43,"💻 Mike is going to save up for a computer. He wants to be careful with money, so he will write a spending plan.",💻 迈克打算为买电脑而存钱。他想要合理使用金钱，所以他要制定一个消费计划。
43,🎒 Liu Jia wants to buy a new schoolbag. But she is going to wait for a sale.,🎒 刘佳想买一个新书包。但她打算等打折时再买。
43,🎁 Binbin is going to buy a nice gift for Grandpa. He also wants to buy a robot show ticket.,🎁 彬彬打算给爷爷买一份好礼物。他还想买一张机器人展览的门票。
43,👧 How are our friends going to use their money?,👧 我们的朋友们打算怎么使用他们的金钱？
43,👦 Mike is going to save up for a computer.,👦 迈克打算为买电脑而存钱。
43,🟡 Discuss and write some tips,🟡 讨论并写出一些小贴士
43,💰 Money Management,💰 金钱管理小贴士
43,❓ How can we use our money wisely?,❓ 我们怎样才能合理使用金钱？
43,👦 We can write a spending plan.,👦 我们可以制定一个消费计划。
43,👧 We can wait for a sale.,👧 我们可以等打折时再买。
43,👦 We can ...,👦 我们可以……
43,Write a spending plan.,制定一个消费计划。
43,Wait for a sale.,等打折时再买。
44,🔵 Read and write 🎧,阅读并书写 🎧
44,Look at the picture and read the title. Can you guess what the article is about?,看图片并阅读标题。你能猜出这篇文章是关于什么的吗？
44,How can you manage money well?,你怎样才能合理管理金钱？
44,By Sarah Miller,作者：莎拉·米勒
44,Our winner,我们的获奖者
44,"The winner is my good friend, Chen Jie. She's a 12-year-old girl from Class One, Grade Six.",获奖者是我的好朋友陈洁。她是六年级一班的一名12岁女孩。
44,Want to look after money well?,想好好管理金钱吗？
44,Let's find out more ...,让我们进一步了解……
44,Manage money well,合理管理金钱
