page,en,zh
50,Unit 5,第五单元
50,Exploring space,探索太空
50,Where are we in the universe?,我们在宇宙中的哪里？
50,"In this unit, you will:",在本单元中，你将：
50,talk about Earth and outer space.,谈论地球和外太空。
50,name things in space and describe ways to explore space.,说出太空中事物的名称并描述探索太空的方式。
50,read and identify key events about life in space.,阅读并识别有关太空生活的重要事件。
50,write about a day in space.,写一篇关于在太空中度过一天的文章。
51,"Write, compare and share",写作、比较与分享
51,Write three facts you know about space.,写出三个你了解的关于太空的事实。
51,Compare these facts with a partner. Choose the two most interesting facts.,与同伴比较这些事实，选出两个最有趣的事实。
51,Share them with the class.,与全班同学分享。
51,Look and think,看一看，想一想
51,What are the children doing?,孩子们在做什么？
51,What interests you about life in space?,关于太空生活，什么让你感兴趣？
51,Listen and sing 🎧,听录音并演唱 🎧
51,In space,在太空中
51,,✅ 参考答案示例
51,Write three facts you know about space:,
51,Earth is a planet. It travels around the Sun.,
51,The Moon travels around Earth.,
51,There are eight planets in our solar system.,
51,What are the children doing? The children are looking at the sky / watching a space lesson on TV.,
51,What interests you about life in space? I am interested in how astronauts eat and sleep in space.,
52,A What can we see in the sky?,我们在天空中能看到什么？
52,🟠 Let's talk,🟠 让我们来谈一谈
52,Miss White is talking to Mrs Green before class. Listen and choose. 🎧,上课前，怀特老师正在和格林老师交谈。听录音并选择。🎧
52,What class will Mrs Green have this afternoon?,格林老师今天下午上什么课？
52,A. Maths. B. Science. C. PE.,
52,Where was Mr Liu before?,刘老师以前在哪里？
52,A. On the space station. B. In the science museum. C. At school.,
52,"Mr Liu: Hi, children. Let's talk about our planet Earth today. What can you see in the sky?",刘老师：大家好。今天我们来谈谈我们的地球。你们在天空中能看到什么？
52,Mike: The sky is often blue in the daytime. We can see the Sun and the clouds. We can also see birds and planes.,迈克：白天天空通常是蓝色的。我们可以看到太阳和云朵，还可以看到鸟和飞机。
52,"Amy: At night, we can see the Moon and the stars.",艾米：晚上，我们可以看到月亮和星星。
52,Mr Liu: Very good. But what can we see from outer space? Let's look at some photos from a space station.,刘老师：非常好。但从外太空我们能看到什么呢？让我们来看一些来自空间站的照片。
52,"Binbin: Wow! We can see mountains, oceans and clouds. How wonderful!",彬彬：哇！我们可以看到山脉、海洋和云朵。真是太壮观了！
52,Chen Jie: There are large oceans on Earth. It looks like a big blue marble.,陈洁：地球上有广阔的海洋。它看起来像一颗巨大的蓝色弹珠。
52,"Mr Liu: Right. Earth also has some beautiful names. For example, the Blue Planet and Mother Earth.",刘老师：对。地球还有一些美丽的名字，例如蓝色星球和地球母亲。
52,Mike: I like those names. I want to know more about our Mother Earth!,迈克：我喜欢这些名字。我想更多地了解我们的地球母亲！
52,What can Mike and Amy see in the sky?,迈克和艾米在天空中能看到什么？
52,What can you see in the sky?,你在天空中能看到什么？
52,🟠 Choose and talk,🟠 选一选，说一说
52,from a hill,从山丘上看
52,from a plane,从飞机上看
52,from the Moon,从月球上看
52,What can you see from ...?,你从……能看到什么？
52,"I can see buildings, a river, ...",我能看到建筑物、河流……
52,,✅ 参考答案示例
52,1. What class will Mrs Green have this afternoon? B. Science.,
52,2. Where was Mr Liu before? A. On the space station.,
52,"What can Mike and Amy see in the sky? Mike can see the Sun, clouds, birds and planes. Amy can see the Moon and the stars.",
52,"What can you see in the sky? I can see the Sun and clouds in the daytime. At night, I can see the Moon and the stars.",
52,Choose and talk（,"示例对话）: — What can you see from a hill? — I can see trees, rivers and buildings."
53,🟠 Let's learn,🟠 学一学
53,"Hi, I'm Earth. I'm a planet. I travel around the Sun. Satellites travel around me.",大家好，我是地球。我是一颗行星。我绕着太阳运转。卫星绕着我运转。
53,The Moon is my neighbour. It travels around me too. People can often see the Moon and the stars at night.,月亮是我的邻居。它也绕着我运转。人们晚上经常可以看到月亮和星星。
53,Earth is a planet. It travels around the Sun. The Moon ...,地球是一颗行星。它绕着太阳运转。月亮……
53,"🟠 Look, compare and say",🟠 看一看，比较并说一说
53,"At night, we can see the Moon and the stars from Earth. We can see some planets too.",晚上，我们可以从地球上看到月亮和星星，还可以看到一些行星。
53,"In the daytime, we can see ...",白天，我们可以看到……
53,,✅ 参考答案示例
53,Earth is a planet. It travels around the Sun. The Moon ... The Moon is Earth's neighbour. It travels around Earth. People can often see the Moon and the stars at night.,
53,"In the daytime, we can see ... In the daytime, we can see the Sun, clouds, birds and hot-air balloons.",
54,B What do we know about Earth and its neighbours?,我们对地球及其邻居了解多少？
54,🟠 Let's talk,🟠 让我们来谈一谈
54,Chen Jie is showing Miss White a magazine. Listen and choose. 🎧,陈洁正在给怀特老师看一本杂志。听录音并选择。🎧
54,What is the magazine about?,这本杂志是关于什么的？
54,A. Mars. B. The Sun. C. The Moon.,
54,Why can't we live there?,为什么我们不能住在那里？
54,A. It is red. B. It is too far. C. The air is thin.,
54,"Mike: Hey, Chen Jie. What are you reading about?",迈克：嘿，陈洁。你在看关于什么的内容？
54,Chen Jie: Mars.,陈洁：火星。
54,Matt: Mars? What does it say?,马特：火星？上面写了什么？
54,Chen Jie: It talks about things on Mars.,陈洁：它介绍了火星上的事物。
54,Matt: Wow! Is there any water on Mars?,马特：哇！火星上有水吗？
54,"Chen Jie: Yes, there is. There is soil too.",陈洁：有。那里也有土壤。
54,Matt: Oh! Are there any aliens?,马特：哦！那里有外星人吗？
54,Chen Jie: I don't think so. They say there aren't any living things.,陈洁：我认为没有。据说那里没有任何生物。
54,Matt: I see.,马特：我明白了。
54,Chen Jie: Look! This is the sunrise on Mars.,陈洁：看！这是火星上的日出。
