page,en,zh
26,Unit 3 Healthy life,第三单元健康生活
26,What is a healthylifestyle?,什么是健康的生活方式？
26,"In this unit, youwill talk about illnesses and ways to stay healthy.",在本单元中，你将谈论疾病和保持健康的方法。
26,You will describehealth problems and healthy lifestyles.,你将描述健康问题和健康的生活方式。
26,You will read andidentify a student's problem and its solution in a story.,你将阅读故事，找出一名学生的问题及其解决办法。
26,You will writesuggestions to help friends with their problems.,你将写出建议，帮助朋友解决问题。
27,Think and complete the table.,👉 思考并完成表格。
27,Healthy lifestyleUnhealthy lifestyle,健康的生活方式不健康的生活方式
27,Do exercise.,做运动
27,Eat too much cake.,吃太多蛋糕
27,Discuss what makes us healthy.,👉 讨论是什么让我们保持健康。
27,What are the children doing in the pictures?,👉 图片中的孩子们在做什么？
27,How do you feel if you are ill?,👉 如果你生病了，你感觉怎么样？
27,How can we stay healthy?,👉 我们如何保持健康？
28,🅰️ How do we know if we are ill?,🅰️ 我们怎么知道自己生病了？
28,🟢 Let's talk,🟢 让我们来谈一谈
28,Mike and Chen Jie are in the playground. Listen and write T (True) or F (False). 🎧,迈克（Mike）和陈洁在操场上。听录音，写T（正确）或F（错误）。🎧
28,Mike has a runny nose. （ ）,迈克（Mike）流鼻涕。（ ）
28,Mike should go back home. （ ）,迈克（Mike）应该回家。（ ）
28,📞👦 Mike: Hello?,📞👦 迈克（Mike）：你好？
28,"📞🧒 Binbin: Hi, Mike. It's Binbin. I'm going to the science museum tomorrow. Are you coming?",📞🧒 彬彬（Binbin）：嗨，迈克（Mike）。我是彬彬（Binbin）。我明天要去科学博物馆。你来吗？
28,"📞👦 Mike: I'm afraid not, Binbin. I have a bad cold.",📞👦 迈克（Mike）：恐怕不行，彬彬（Binbin）。我得了重感冒。
28,📞🧒 Binbin: Oh dear! How do you feel?,📞🧒 彬彬（Binbin）：哦，不！你感觉怎么样？
28,📞👦 Mike: I feel ill. My head hurts and I have a runny nose.,📞👦 迈克（Mike）：我感觉不舒服。我头痛而且流鼻涕。
28,📞🧒 Binbin: I'm sorry to hear that. Maybe you should see a doctor.,📞🧒 彬彬（Binbin）：听到这个我很遗憾。也许你应该去看医生。
28,📞👦 Mike: I know. My mum is going to take me to hospital this afternoon.,📞👦 迈克（Mike）：我知道。我妈妈今天下午要带我去医院。
28,📞🧒 Binbin: That's good. Take care and get well soon!,📞🧒 彬彬（Binbin）：那很好。保重，祝你早日康复！
28,📞👦 Mike: Thanks.,📞👦 迈克（Mike）：谢谢。
28,❓ How does Mike feel?,❓ 迈克（Mike）感觉怎么样？
28,❓ What should Mike do?,❓ 迈克（Mike）应该怎么做？
28,🟢 Add more words and make up a conversation,🟢 添加更多单词，编一段对话
28,😊 happy　😢 sad　🤒 feel　🥶 cold　🍽️ hungry,😊 开心　😢 伤心　🤒 感觉　🥶 冷　🍽️ 饿
28,👧 How do you feel now?,👧 你现在感觉怎么样？
28,🤒 I'm not feeling well. I feel cold and I have a runny nose.,🤒 我感觉不舒服。我感到很冷而且流鼻涕。
28,👩 You should drink some water and have a rest.,👩 你应该喝些水并且休息一下。
29,🟢 Let's learn,🟢 让我们来学一学
