page,en,zh
2,,内封页
3,,版权页
4,A What amazing places do you know?,你知道哪些奇妙的地方？
4,🔴 Let's talk,🔴 让我们来谈一谈
4,Zhang Peng is talking with John. Listen and choose. 🎧,张鹏正在和约翰交谈。听录音并选择。🎧
4,What day is it?,今天是星期几？
4,A. Friday.　　B. Saturday.　　C. Sunday.,A. 星期五。　　B. 星期六。　　C.星期日 。
4,What will Zhang Peng do now?,张鹏现在要做什么？
4,A. He'll meet a friend.　　B. He'll answer a call.　　C. He'll have a class.,A. 他要去见一位朋友。　　B. 他要去接电话。　　C. 他要去上课。
4,"Zhang Peng: Hi, Leo! How was your weekend?",张鹏：嗨，利奥！你的周末过得怎么样？
4,"Leo: Not too bad, thanks. And you?",利奥：还不错，谢谢。你呢？
4,Zhang Peng: It was great! I climbed the Great Wall.,张鹏：很棒！我爬了长城。
4,Leo: Wow! The Great Wall is amazing.,利奥：哇！长城真是太壮观了。
4,"Zhang Peng: Yes, it is! It's about 21,000 kilometres long. What did you do, Leo?","张鹏：是啊！它全长约21,000公里。你做了什么，利奥？"
4,"Leo: I visited the ""Gingerbread House"" last Saturday.","利奥：我上周六参观了""姜饼屋""。"
4,Zhang Peng: What did you do there? Eat gingerbread?,张鹏：你在那里做了什么？吃姜饼吗？
4,Leo: Ha! Ha! No! It's a beautiful train station in New Zealand.,利奥：哈！哈！不是！那是新西兰的一座美丽的火车站。
4,Zhang Peng: That sounds interesting. Please send me some pictures.,张鹏：听起来很有趣。请给我发一些照片吧。
4,What did the boys do last weekend?,男孩们上周末做了什么？
4,What facts do you learn from their conversation?,你从他们的对话中了解到哪些事实？
4,🔴 Interview and report,🔴 采访与汇报
4,What do you often do at the weekend? What did you do last weekend?,你周末经常做什么？你上周末做了什么？
4,,姓名　　周末经常做的事　　上周末做的事
4,,约翰　　我经常在家附近踢足球。　　我上周六下了中国象棋。
4,"John often ... at the weekend. But last weekend, he ...",约翰经常在周末……。但上周末，他……
4,,✅ 参考答案示例
4,Listen and choose:,
4,C. Sunday.,
4,C. He'll have a class.,
4,"What did the boys do last weekend? Zhang Peng climbed the Great Wall last weekend. Leo visited the ""Gingerbread House"", a beautiful train station in New Zealand.","张鹏上周末爬了长城。利奥参观了""姜饼屋""，那是新西兰的一座美丽的火车站。"
4,"What facts do you learn from their conversation? The Great Wall is about 21,000 kilometres long. The ""Gingerbread House"" is a beautiful train station in New Zealand.","长城全长约21,000公里。""姜饼屋""是新西兰的一座美丽的火车站。"
4,"Interview and report 示例： John often plays football near his home at the weekend. But last weekend, he played Chinese chess.",约翰经常在周末去家附近踢足球。但上周末，他下了中国象棋。
4,"自己的示例： I often read books at the weekend. But last weekend, I visited the science museum with my family. It was very interesting.",我周末经常读书。但上周末，我和家人参观了科学博物馆，非常有趣。
5,Unit 1 — Amazing places,奇妙之地
5,Why do we travel to different places?,我们为什么要去不同的地方旅行？ (p. 2)
5,Part A — What amazing places do you know?,你知道哪些奇妙的地方？ | Listening & speaking: Talking about trips at the weekend 谈论周末出行 | Vocabulary: Action verbs for trips 旅行动作动词
5,Part B — What makes a trip special?,是什么让旅行变得特别？ | Listening & speaking: Talking about trips in the holidays 谈论假期出行 | Vocabulary: Action verbs for trips 旅行动作动词 | Reading & writing: Reading an online travel review about visiting the Jinggang Mountains 阅读关于井冈山的在线旅行评价 · Writing a short travel review 写一篇简短的旅行评价
5,Part C (optional) — Project: Make a holiday scrapbook,制作假期剪贴簿 | Extended reading: Landmarks you shouldn't miss! 不可错过的地标！
5,Grammar — Simple past,"一般过去时：How was your weekend? It was great! / What did you do? / I visited the ""Gingerbread House"" last Saturday. / Where did you go over the summer holidays? / I went to Xi'an with my family."
5,Unit 2 — Getting together,相聚在一起
5,Why do we get together?,我们为什么要聚在一起？ (p. 14)
5,Part A — How can festivals bring us together?,节日如何将我们联系在一起？ | Listening & speaking: Talking about festivals 谈论节日 | Vocabulary: Action verbs for festivals 节日动作动词
5,Part B — How can big events bring us together?,大型活动如何将我们联系在一起？ | Listening & speaking: Talking about big events 谈论大型活动 | Vocabulary: Action verbs for events 活动动作动词 | Reading & writing: Reading a diary entry and a notice about a dragon boat race 阅读关于龙舟赛的日记和通知 · Writing a short paragraph about a festival or a big event you enjoyed 写一篇关于你喜欢的节日或大型活动的短文
5,Part C (optional) — Project: Present snapshots from school events,展示学校活动的快照 | Extended reading: The story of Nian 年的故事
5,Grammar — Simple past,"一般过去时：Did you take a trip? No, we didn't. / Did you eat mooncakes? Yes, we did. / What did you like about it? / I liked watching the runners."
5,Unit 3 — Healthy life,健康生活
